clean_tweets,label
Pic NOT colleague Posted physician group Feeling beyond concern More …,surprise
Apparently Representative Clay Higgins paying attention recent Trump COVID-19 task force pr…,surprise
They make fun use tag Insta page promote pic…,surprise
Pic NOT colleague Posted physician group Feeling beyond concern More …,surprise
Pic NOT colleague Posted physician group Feeling beyond concern More …,surprise
Pic NOT colleague Posted physician group Feeling beyond concern More …,surprise
Pic NOT colleague Posted physician group Feeling beyond concern More…,surprise
Everyone wished die When death came Everyone ran away,surprise
The buck stops somewhere near pile ... hey 's emails,surprise
This coming people could withstand working two years lose thing telling hard hit peopl…,surprise
Will music help remember Simple steps wonderful way remember …,surprise
Typical VOTED AGAINST AN AMENDMENT TO EAND PAID SICK LEAVE The proves th…,surprise
Original Pop/Guitar Instrumental Enjoy Soundcloud …,surprise
Original Pop/Guitar Instrumental Enjoy Soundcloud …,surprise
Original Pop/Guitar Instrumental Enjoy Soundcloud …,surprise
So unqualified ... funny ... .not even ironic Just ...,surprise
Soooooo I guess ’ “ NO ” early release,surprise
Original Pop/Guitar Instrumental Enjoy Soundcloud …,surprise
People saying many still government R side,surprise
Just relax little bit social isolation approach partner Then y…,surprise
Seriously Democrats,surprise
Fall With Me w/HOOK Sad Lofi Beat via …,surprise
Thanks I ’ learn biblical Greek online I think I could come vaccine quicker to…,surprise
Seriously Democrats,surprise
This coming people could withstand working two years lose thing telling hard hit peopl…,surprise
They make fun use tag Insta page promote pic…,surprise
*2020* YK Osiris Type Beat `` Luv '' Sad/Trap Instrumental Sadb ...,surprise
So sad see whole generation young people behave way Self entitled selfish ill educated bunch I guess…,surprise
Philip pretends certain media ’ aligned enemies USA Your is…,surprise
Fall With Me w/HOOK Sad Lofi Beat via …,surprise
In search new friends play siege I want play luck atm ️ ... I 'm going play s…,surprise
In search new friends play siege I want play luck atm ️ ... I 'm goin…,surprise
hope rona ’ get 🦠 …,surprise
Seriously Democrats,surprise
I ’ eress way ... Mexican ashamed I Andres Lopez Obrador president…,surprise
Hey done months ago,surprise
sees We see let us We see refuse prote…,surprise
That I feeling virus thing right I getting sick tired shit and…,surprise
I wish I knew earlier like I could get market …,surprise
See virtual tour listing W EVANS Drive,surprise
They make fun use tag Insta page promote own…,surprise
So `` Only '' signed part photo-op …,surprise
Didn ’ know could get evicted parents house,surprise
Just listen words song No heaven hell religion countries possessions This e…,surprise
Gaslighting Days calling news media coverage coronavirus pandemic “ fair ” agreed Thursday…,surprise
Everyone wished die When death came Everyone ran away,surprise
season starting,surprise
Seriously Democrats,surprise
miss pristin sm,surprise
display ... This person tweeting says they…,surprise
Whoever invented running mind fat guys smoke,surprise
feel Connected RT Now …,surprise
This coming people could withstand working two years lose thing telling hard hit peopl…,surprise
feel Connected RT Now …,surprise
Thanks R outdated Legal system amp name human rights inhuman rapists still get appeal amp live yrs afte…,surprise
I beginning realize giver/ donor longer ... never b…,surprise
pinned edit bc thats thing im known,surprise
It matter prejudice promotes ignorance called 'coronavirus call it…,surprise
The Chinese contained Chinese Virus instead chose i…,surprise
Crazy fake news modea spewing ChinaVirus Very sad nasty like attacks LO…,surprise
Hahahaha Did guest tell different truth trying project None medical…,surprise
The Chinese contained Chinese Virus instead chose t…,surprise
Times ’ tough Money bank warehouse filled paper goods an…,surprise
This coming people could withstand working two years lose thing telling hard hit peopl…,surprise
Each person owns sorrows world ignorant times say person hi…,surprise
It ’ sad see grew turn shit,surprise
... even ferocious enemy ... reserve uneected sides Art Bordalo II San Francisco USA …,surprise
Am truly,surprise
appeared StateTV 's Hannity pandemic lost support forever Remember when…,surprise
I ’ highlighted things NEED get better Can believe Denver turned Liberal sh*thol…,surprise
Seriously Democrats,surprise
So sad see whole generation young people behave way Self entitled selfish ill educated bunch I guess…,surprise
Americans sick start eating American diet full sugar gra…,surprise
This coming people could withstand working two years lose thing telling hard hit peopl…,surprise
Just relax little bit social isolation approach partner Then y…,surprise
Trump 's thing willing learn since elected …,surprise
I ’ eress way ... Mexican ashamed I Andres Lopez Obrador president…,surprise
This coming people could withstand working two years lose thing telling hard hit peopl…,surprise
season starting,surprise
questioning waste everyone ’ time ’ trying make …,surprise
I 'm usually cryer scene Love Alarm broke I feel bad …,surprise
Typical VOTED AGAINST AN AMENDMENT TO EAND PAID SICK LEAVE The proves th…,surprise
Successor ®Presents -…,surprise
Losing followers,surprise
This coming people could withstand working two years lose thing telling hard hit peopl…,surprise
If ’ seen Star Wars rebels one death always gets ’ season finale,surprise
Lolll true,surprise
Losing followers,surprise
In HOLLYWOOD gone completely radio silent ’ tried talk,surprise
I ’ eress way ... Mexican ashamed I Andres Lopez Obrador president…,surprise
Worst part trump era Eerts eschewed people idea ’ talking,surprise
thoughts ripped individuality apart ’ steal anymore …,surprise
Very disappointed,surprise
This coming people could withstand working two years lose thing telling hard hit peopl…,surprise
's busy friends I proposed socially distant cubans turned,surprise
The forest empty greenhouse gases,surprise
This coming people could withstand working two years lose thing telling hard hit peopl…,surprise
I ’ wait I bounce back everything I ’ going right,surprise
real people,surprise
Now know felt movies ...,surprise
So hoes ’ want least try succeed life start popping meet-ups,surprise
OMG I ’ know wtf POS ⁦⁩ done country His hate vileness knows b…,surprise
Paul gone soft Shaking everyone ’ hand,surprise
If 'get would humanize absolutely …,surprise
But life,surprise
Why brother mad me🥺,surprise
Just relax little bit social isolation approach partner Th…,surprise
I ’ afraid leave Don ’ forget,surprise
room usually get away ’ even stepped foot room,surprise
The virus spreading fast Covid19,surprise
I ’ eress way ... Mexican ashamed I Andres Lopez Obrador president…,surprise
Steel Wire Saw Round Handles,surprise
Four Supreme Court justices liberals think 's totes OK commit identity theft tax fraud,surprise
